CollarID	Latitude	Longitude
15438	-19.7399714	22.4020471
15438	-19.7399709	22.4065849
15438	-19.7399702	22.4020854
15438	-19.7399668	22.4020823
15438	-19.7399652	22.4022234
15438	-19.7399624	22.4020367
15438	-19.7399624	22.4020367
15438	-19.7399611	22.4020751
15438	-19.7399601	22.4020543
15438	-19.7399599	22.4021134
15438	-19.7399578	22.4020502
15438	-19.7399544	22.4020471
15438	-19.7399508	22.4021031
15438	-19.7399464	22.4020792
15438	-19.7399408	22.4020502
15438	-19.7399316	22.4020834
15438	-19.7399314	22.4048457
15438	-19.7399209	22.4066274
15438	-19.7399174	22.4046226
15438	-19.7399071	22.4046506
15438	-19.7399016	22.4066232
15438	-19.7398392	22.4046288
15438	-19.7397767	22.4103714
15438	-19.739771	22.4103859
15438	-19.7397684	22.4067945
15438	-19.739762	22.4103538
15438	-19.7397563	22.4103683
15438	-19.7397442	22.4042252
15438	-19.7396522	22.4042781
15438	-19.7396213	22.4043839
15438	-19.7396099	22.410747
15438	-19.7396099	22.410747
15438	-19.7396043	22.4043621
15438	-19.7396043	22.4107398
15438	-19.7396	22.4042946
15438	-19.7395889	22.404221
15438	-19.7395828	22.4040248
15438	-19.7395742	22.4028813
15438	-19.7395607	22.4038557
15438	-19.7395547	22.4043019
15438	-19.739539	22.4042417
15438	-19.7395268	22.4038339
15438	-19.7395224	22.4064696
15438	-19.7394864	22.4040539
15438	-19.7394829	22.4087557
15438	-19.739475	22.4040612
15438	-19.7394554	22.4115087
15438	-19.7394214	22.4101867
15438	-19.7393927	22.4109763
15438	-19.7393477	22.4068556
15438	-19.7393413	22.4067249
15438	-19.7392981	22.4037415
15438	-19.7392942	22.4079255
15438	-19.7392899	22.4028242
15438	-19.7392869	22.403727
15438	-19.7392792	22.4066513
15438	-19.7392718	22.4034831
15438	-19.7392708	22.4037695
15438	-19.7392698	22.4037488
15438	-19.7392665	22.4037239
15438	-19.7392444	22.403533
15438	-19.7392426	22.403755
15438	-19.7392374	22.4035859
15438	-19.7392334	22.4037664
15438	-19.7392254	22.4111694
15438	-19.7392245	22.4037342
15438	-19.7392243	22.4111641
15438	-19.7392148	22.4119362
15438	-19.7392087	22.4036959
15438	-19.7392062	22.4037571
15438	-19.7392035	22.4119434
15438	-19.7391984	22.4037239
15438	-19.7391898	22.403589
15438	-19.7391682	22.4036242
15438	-19.7391649	22.4035993
15438	-19.7391512	22.4036242
15438	-19.7391427	22.403781
15438	-19.7391317	22.403701
15438	-19.7391224	22.4051154
15438	-19.7391198	22.4035039
15438	-19.7391157	22.4127435
15438	-19.7390999	22.4037052
15438	-19.7390633	22.4034748
15438	-19.7390518	22.4035039
15438	-19.7390473	22.4034955
15438	-19.7389658	22.4111765
15438	-19.7389646	22.4112149
15438	-19.7389138	22.411134
15438	-19.7387427	22.4081184
15438	-19.7387417	22.4080759
15438	-19.7387379	22.4021486
15438	-19.7387347	22.4081288
15438	-19.7387314	22.4081039
15438	-19.7387255	22.4021351
15438	-19.7387149	22.4029392
15438	-19.7386595	22.4049016
15438	-19.7386079	22.396625
15438	-19.7386051	22.4038836
15438	-19.7385929	22.4115262
15438	-19.7385925	22.4103068
15438	-19.7385845	22.3964942
15438	-19.7385731	22.4103245
15438	-19.7385697	22.4103214
15438	-19.7385655	22.3964091
15438	-19.7385608	22.4102892
15438	-19.7385561	22.4103245
15438	-19.7385558	22.4040559
15438	-19.7385494	22.4102965
15438	-19.7385475	22.4115334
15438	-19.7385474	22.4035266
15438	-19.7385464	22.4115127
15438	-19.7385447	22.4039759
15438	-19.7385391	22.4103245
15438	-19.7385334	22.4039832
15438	-19.7385313	22.4039199
15438	-19.7385273	22.4041005
15438	-19.7385186	22.4040028
15438	-19.7385031	22.4102612
15438	-19.7385004	22.403675
15438	-19.738496	22.4036294
15438	-19.7384951	22.4042447
15438	-19.7384925	22.4036635
15438	-19.7384924	22.4036854
15438	-19.7384878	22.4040714
15438	-19.7384857	22.4036574
15438	-19.7384722	22.4039894
15438	-19.7384721	22.4036605
15438	-19.738472	22.4036823
15438	-19.738472	22.4036823
15438	-19.7384718	22.4040921
15438	-19.7384687	22.4036574
15438	-19.7384608	22.4036677
15438	-19.7384608	22.4036677
15438	-19.7384487	22.4042094
15438	-19.7384341	22.4041917
15438	-19.7384308	22.4041668
15438	-19.7384307	22.4041886
15438	-19.7384294	22.404227
15438	-19.7384251	22.4041596
15438	-19.7384137	22.4041886
15438	-19.7383722	22.403373
15438	-19.7383665	22.4033875
15438	-19.7383609	22.4033803
15438	-19.7383609	22.4033803
15438	-19.7383575	22.4033772
15438	-19.7383575	22.4033772
15438	-19.7383564	22.4033719
15438	-19.7383552	22.403373
15438	-19.7383498	22.4032848
15438	-19.7383495	22.4033875
15438	-19.7383495	22.4033875
15438	-19.7383495	22.4033875
15438	-19.7383484	22.4033823
15438	-19.7383426	22.4034186
